"","MLS","sold_price","zipcode","longitude","latitude","lot_acres","taxes","year_built","bedrooms","bathrooms","sqrt_ft","garage","kitchen_features","fireplaces","floor_covering","HOA"
"1716","21821784","698000","85750","-110.818209","32.290255","1.07","6224.68","2004","3","2","2711","2","Dishwasher, Garbage Disposal, Gas Range, Pantry: Butler, Refrigerator, Appliance Color: Stainless, Countertops: Granite","2","Carpet, Ceramic Tile, Other: Brazilian Pergo","63"
"1717","21611862","675000","85718","-110.954271","32.317129","0.52","4526.02","1985","4","3","2915","4","Dishwasher, Oven","1","Carpet, Ceramic Tile","4"
"1718","21824381","711254","85658","-111.106137","32.469842","0.3","1141","2018","3","3","2602","3","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Prep Sink, Appliance Color: Stainless, Countertops: Granite, Oven: Built-in SS","0","Ceramic Tile","45"
"1719","21420077","680000","85658","-111.092358","32.459061","0.76","7759.3","2006","3","4","3541","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile","83"
"1720","21517734","695000","85749","-110.791469","32.305981","0.93","6640.75","2005","4","3","3224","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Concrete","330"
"1721","21129702","698000","85718","-110.901614","32.320341","0.44","6050.57","2001","3","4","3541","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile","80"
"1722","21721366","687500","85750","-110.869622","32.322918","0.54","7614.72","1998","4","4","3542","3","Desk, Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: granite, Oven: double","1","Carpet, Ceramic Tile, Natural Stone, Other: engineered wood","40"
"1723","3060312","690000","85646","-111.052693","31.630004","1.85","4884","1997","3","4","list(3044)","3","Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Microwave","1","Ceramic Tile","21"
"1724","21534138","698000","85755","-110.953811","32.455792","0.58","7422","2000","4","3","3037","2","Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Natural Stone, Wood","67"
"1725","21627501","695500","85755","-111.021887","32.426997","3.3","8914.57","2000","5","4","4316","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Ceramic Tile","0"
"1726","21705413","650000","85614","-110.976827","31.833516","4.15","6477.05","2004","5","3","3020","3","Dishwasher, Garbage Disposal, Refrigerator","2","Ceramic Tile, Wood","33"
"1727","21820416","704000","85718","-110.899523","32.318908","0.47","7134","2002","4","3","3052","3","Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Lazy Susan, Pantry: Closet, Refrigerator, Appliance Color: Black, Countertops: Corian, Microwave: Black, Oven: Black","1","Concrete","80"
"1728","21901253","709000","85737","-110.987531","32.404586","0.64","7053.25","2001","4","3","3421","2","Dishwasher, Double Sink, Garbage Disposal, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Slab Granite, Microwave: Built In, Oven: Convection","2","Carpet, Ceramic Tile","77"
"1729","21832500","705837","85755","-110.962445","32.446781","0.19","1122.94","2018","4","4","3236","3","Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Countertops: Granite","0","Carpet, Ceramic Tile","100"
"1730","21516791","781000","85718","-110.883464","32.333846","0.96","8313.59","1978","4","4","4157","2","Oven","4","Carpet, Ceramic Tile, Other","215"
"1731","21907220","695000","85718","-110.911345","32.285697","0.54","7051","1997","4","3","3392","3","Desk, Dishwasher, Double Sink, Electric Range, Garbage Disposal, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Built-in, Oven: Range has 2 Ovens","1","Carpet, Ceramic Tile","52"
"1732","21407722","7e+05","85739","-110.858935","32.54168","0.28","3600.92","2010","3","3","3250","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile","148"
"1733","21500747","720000","85712","-110.877081","32.263693","0.75","7674.13","2000","4","3","2561","2","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Concrete","32"
"1734","21428936","6e+05","85704","-110.977872","32.32396","1.3","4877.48","1978","3","3","3410","2.5","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Mexican Tile, Natural Stone","0"
"1735","21500110","650000","85749","-110.701025","32.267052","3.25","6388","1996","5","4","4136","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Ceramic Tile","186"
"1736","21518166","6e+05","85719","-110.940103","32.231493","0.29","7493","1947","4","4","3680","0","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Wood","0"
"1737","21526718","662500","85658","-111.054312","32.420011","0.37","7329.53","2007","4","3","2595","2","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","5","Concrete","46"
"1738","21520101","625000","85658","-111.088483","32.460123","0.8","10031.42","2005","3","4","3811","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile","76"
"1739","21626171","648055","85701","-110.968144","32.215612","0.22","1714.42","1902","6","5","5936","0","Dishwasher, Garbage Disposal, Refrigerator, Microwave","2","Wood, Other","0"
"1740","21625022","678000","85718","-110.929556","32.340007","1.14","6376.04","1989","4","4","3403","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Ceramic Tile","100"
